title,key,tempo,danceability,loudness,acousticness,duration_ms,year,uri,playlist,id,energy,liveness,time_signature,valence,instrumentallness,mode,speechiness
The Battle Of New Orleans,A,177.283,0.703,-10.983,0.764,151627,1959,spotify:track:0dwpdcQkeZqpuoAPYD49N3,Billboard Hot 100 1959,02TL57GB0YFYSR03LAY8RV3W1,0.776,0.0988,4,0.921,0,major,0.139
Mack the Knife,E flat,82.755,0.549,-12.291,0.76,184333,1959,spotify:track:3E5ndyOfO6vFDEIE42HA8o,Billboard Hot 100 1959,K7UGCN2DJIQPS2LJ2DA3RE49W,0.529,0.206,4,0.464,0,minor,0.108
Personality,F,128.909,0.591,-8.936,0.744,157733,1959,spotify:track:5vjigjfoXuJEttqLB3HTAg,Billboard Hot 100 1959,WRJFTEDJUOTLVAKLDKJ323A3A,0.454,0.0989,4,0.865,0,major,0.0322
Venus,B flat,114.883,0.576,-18.755,0.852,144483,1959,spotify:track:5kqXQHIgQ6UfFP9LfqPNgG,Billboard Hot 100 1959,JY531U2K50K1AGB6G7G2BOH7Y,0.347,0.124,4,0.85,0.599,major,0.0317
Lonely Boy,C,106.163,0.623,-9.923,0.352,151107,1959,spotify:track:4kh2S9hRpPvoF9JkwZcYGN,Billboard Hot 100 1959,PF3ZQRUA4FILUEWM61MR2T3LZ,0.605,0.101,3,0.804,0,major,0.0306
Dream Lover,F,131.715,0.526,-1.692,0.715,150706,1959,spotify:track:1KLpjQFgubHI3GkAICCNH3,Billboard Hot 100 1959,DSB4437GZFWP3GILDUTA1V8N5,0.774,0.437,4,0.715,0,major,0.0459
The Three Bells,G,106.488,0.47,-14.795,0.893,169573,1959,spotify:track:24SbmQo3XQkNLpSBYda4DA,Billboard Hot 100 1959,8J25QKYXA8K44UJPDGNDXVHI5,0.159,0.124,4,0.418,0,major,0.0403
Come Softly To Me,C#,122.975,0.601,-18.478,0.93,144933,1959,spotify:track:603N4XGJUTbK760GLCvIIs,Billboard Hot 100 1959,H7886MTXETAPABS4RB7L3FOIU,0.095,0.116,4,0.672,0.000285,major,0.0374
Kansas City,C#,114.979,0.727,-6.453,0.653,150333,1959,spotify:track:4GvyP7CnBJEV2t7L7vOkjw,Billboard Hot 100 1959,04TO1TPHV50JQMNI0JJFDPMHT,0.665,0.349,4,0.912,0.233,major,0.0352
Mr. Blue,E,96.677,0.374,-17.475,0.931,145133,1959,spotify:track:6bnFjTW3EnMG4BwreDnSHK,Billboard Hot 100 1959,DABK1QY9FDT1NLG96TMQWODT7,0.0889,0.111,4,0.211,6.88E-06,major,0.0356
Sleep Walk,B flat,94.675,0.779,-9.759,0.759,145333,1959,spotify:track:0yK8sWD6cfrc7pGfaPIcZH,Billboard Hot 100 1959,AH4UYZI0JB4BLGO719LQ7AMLP,0.212,0.235,3,0.444,0.959,minor,0.0362
Put Your Head On My Shoulder,E,115.838,0.547,-9.2,0.747,154733,1959,spotify:track:2DpJ9T2RVRanZcYFHKOAfA,Billboard Hot 100 1959,EAJIG0IZ26IIFJ8F9GWDODE9Q,0.335,0.101,3,0.474,0,minor,0.0307
Stagger Lee,E flat,69.835,0.396,-8.209,0.675,144960,1959,spotify:track:4MUGG9mgDUP8dlaS3AAeg0,Billboard Hot 100 1959,1O52NQME93W7V41TB1MGV1AKK,0.618,0.0982,4,0.824,0,major,0.0311
Donna,F,67.47,0.463,-10.542,0.866,149067,1959,spotify:track:5jjrPdeClupQkNkGR1sth7,Billboard Hot 100 1959,H709U84IFUPIRIISQC7VO9NEA,0.224,0.116,4,0.394,0,major,0.0255
Pink Shoe Laces,F,85.81,0.758,-10.462,0.678,145160,1959,spotify:track:2DifRe6kiKZjeB1IqFl2jJ,Billboard Hot 100 1959,C1M05N18F1BW08IB908C7ACUT,0.587,0.324,4,0.882,0,minor,0.107
Smoke Gets In Your Eyes,E flat,171.222,0.203,-11.155,0.92,160933,1959,spotify:track:2vSxjnyrWrtxyfzO47EX6q,Billboard Hot 100 1959,JNGHHTP2FRK2YJQDJAMTC1YPV,0.295,0.173,3,0.285,2.05E-06,major,0.0323
Charlie Brown - 2007 Remaster Stereo Single Version; Remastered,B flat,125.935,0.485,-6.299,0.604,141307,1959,spotify:track:6t83zAQg9Efca1u1DPL930,Billboard Hot 100 1959,NIXDTGHNJ6PI9HVNQNJGAUJ5V,0.751,0.0124,4,0.814,1.07E-06,major,0.15
Quiet Village - Original Mono Version,D,114.324,0.818,-8.915,0.685,220240,1959,spotify:track:3ZI49HJE66dhI3EvYHDqSz,Billboard Hot 100 1959,MP6RAU7TV20K4ERHER8CJL8X5,0.482,0.228,4,0.299,0.119,minor,0.0538
My Heart Is an Open Book,E,125.882,0.855,-12.958,0.642,130093,1959,spotify:track:4qtJYd4XZAYSTEcTqerc5v,Billboard Hot 100 1959,YRATX4M8GIZO6ECD6HM8SZ6SV,0.269,0.0703,4,0.819,0,major,0.0558
('Till) I Kissed You,B flat,140.725,0.567,-10.434,0.581,146054,1959,spotify:track:09gdJbBFAQAdfUFhzZamhv,Billboard Hot 100 1959,2XRMPNHR4W6D1UB6PEEOJEDQ5,0.457,0.362,4,0.663,0,minor,0.0449
Sea Of Love,G,127.565,0.449,-5.848,0.786,141933,1959,spotify:track:4gUDdUr5yK0JGlR49zSRVt,Billboard Hot 100 1959,53KVWX18CRNJESG0OLM89TR5N,0.571,0.385,3,0.308,0,major,0.0281
The Happy Organ,C#,91.22,0.635,-6.811,0.536,125200,1959,spotify:track:6fOxrKUo3f9OX2z6YrBpwy,Billboard Hot 100 1959,EMP37MGOW0O0OEII5TSZHP5X5,0.888,0.0743,4,0.97,0.144,major,0.0313
I'm Gonna Get Married,G,119.518,0.569,-9.369,0.765,143000,1959,spotify:track:1jKcwPfDloLOMxC1wMV0ux,Billboard Hot 100 1959,R1G9FCLPVBN5VAFCA4IL5ITEV,0.514,0.131,4,0.63,0,major,0.0334
Sorry (I Ran All The Way Home),E flat,131.775,0.668,-12.917,0.702,149667,1959,spotify:track:6nii2N9mhMpEXzYZHMCnX2,Billboard Hot 100 1959,UXNXHT7UWF8Q93YEQK347EVUV,0.328,0.121,4,0.885,0.00913,major,0.0389
A Teenager In Love,C#,78.986,0.555,-9.123,0.671,158253,1959,spotify:track:0QGwOFQChzflLAmPq5NwKo,Billboard Hot 100 1959,5ZXZQT1W1XIV5K8QU4DHI1GZA,0.377,0.128,4,0.619,0,major,0.0295
16 Candles,B flat,113.728,0.597,-7.189,0.857,172827,1959,spotify:track:3nE2B39SRFw9C0HlwAts25,Billboard Hot 100 1959,H51NA0A37UIIN2JP3EFMRFD3Z,0.382,0.0959,3,0.587,0,major,0.0267
It's Just A Matter Of Time,A,98.161,0.444,-14.307,0.672,149533,1959,spotify:track:0YsKaqgFYvAKl0Ukx83pLK,Billboard Hot 100 1959,5Q49CUVKH4MBZJ20IBX2S8RJI,0.268,0.125,3,0.411,4.07E-06,major,0.0302
Lipstick On Your Collar,G,165.624,0.538,-7.74,0.833,138933,1959,spotify:track:5Y1GkapUCSqXvoAujohJL2,Billboard Hot 100 1959,GZXL8XU0GC3UPR6DSAELXLG0F,0.884,0.193,4,0.901,0.000307,major,0.0481
There Goes My Baby,F#,77.378,0.241,-6.544,0.591,129613,1959,spotify:track:2s4B4fUlVIkE4ELgoupjXL,Billboard Hot 100 1959,4UELR7RDLUFRYQP2C4TLVJMPZ,0.564,0.704,5,0.642,0,minor,0.0347
A Big Hunk O' Love,G,87.055,0.551,-6.66,0.822,133093,1959,spotify:track:6PUsG2iMvCjnPFLjydO1RR,Billboard Hot 100 1959,QQUK66M8V3TFL7H9YFJJKOMAC,0.934,0.419,4,0.96,0.143,minor,0.0481
Red River Rock,B,151.348,0.339,-4.802,0.662,138240,1959,spotify:track:643QHUvRNchbEDfcDvMILB,Billboard Hot 100 1959,KBWV0Z1ZIIARY4RNEONYA2OSG,0.935,0.182,4,0.783,0.000749,major,0.103
Waterloo,G#,203.85,0.463,-10.714,0.482,146933,1959,spotify:track:3YXPyakTFaoVS2ffimogLR,Billboard Hot 100 1959,2TC0G676NET0ZE7TWGGWOJH9B,0.607,0.117,4,0.964,0,minor,0.0299
Lavender Blue,G#,113.151,0.435,-17.853,0.625,136893,1959,spotify:track:6Wail02XSZDAn1iMQcM4qD,Billboard Hot 100 1959,TXILD6VG42ZY3LF6OYBB50X8P,0.212,0.341,3,0.461,0.00315,minor,0.0437
(Now and Then There's) A Fool Such as I,C,63.625,0.574,-6.344,0.901,159360,1959,spotify:track:2TGiDvXSDPCcBTfaMtmsRc,Billboard Hot 100 1959,9BPQLG5JCFU4QSVHYVOB7I423,0.714,0.255,4,0.722,1.70E-05,major,0.0403
Guitar Boogie Shuffle,E,93.164,0.542,-7.03,0.105,156800,1959,spotify:track:6CIHxvT7MnSGsJLCoihLtV,Billboard Hot 100 1959,LCVF5H6OL8W56AQVBW964Y8DR,0.946,0.0854,4,0.482,0.0309,major,0.0578
Teen Beat,F#,187.07,0.379,-12.292,0.0149,182533,1959,spotify:track:0b6gDFi2UJhDDFk3vOIHxL,Billboard Hot 100 1959,S7DNN6BHKHI26RNETCU7AG3CI,0.754,0.104,4,0.537,0.835,minor,0.0581
Kookie Kookie (Lend Me Your Comb),E flat,128.547,0.806,-8.019,0.779,127133,1959,spotify:track:4mTRI1GgULY7tYo7WS9nbb,Billboard Hot 100 1959,T1J7UJ9NK4F0W8AJSXUXMSCBF,0.811,0.223,4,0.922,6.44E-05,major,0.0518
Tragedy,C#,73.84,0.215,-14.35,0.991,131507,1959,spotify:track:7HX8vPJ5pGW7ZjSGsQym5Y,Billboard Hot 100 1959,RPR2YSYVM134YII0PV4VKS0YG,0.142,0.14,4,0.158,0.018,major,0.0285
My Happiness,B flat,108.853,0.468,-7.382,0.843,148253,1959,spotify:track:3Caxz7mxX1pTWlxCYH1aV3,Billboard Hot 100 1959,UOOE6KTEG13LK241MZPA6AI79,0.346,0.13,4,0.298,1.84E-06,major,0.0299
Tallahassee Lassie,D,142.42,0.324,-4.856,0.152,132893,1959,spotify:track:5dDs13F0oo7XngcEIgRb2m,Billboard Hot 100 1959,FV7XQI46XNGATS5TZSYKFII52,0.888,0.248,4,0.251,0,major,0.0954
Tiger,G,166.046,0.589,-10.213,0.787,151093,1959,spotify:track:79XxOR7ZN4gPgw7Vo7H816,Billboard Hot 100 1959,SSL7X0OZFYEORGZ4UGO592BS5,0.842,0.626,4,0.951,1.63E-06,major,0.0399
Never Be Anyone Else But You,C,141.699,0.587,-8.62,0.189,137787,1959,spotify:track:6tKz5rRgvzJvM3Xdpj8e5X,Billboard Hot 100 1959,EESMHZ7UQNFQ0TBM4CBL5L033,0.489,0.119,3,0.686,0.00109,major,0.0369
Don't You Know,E flat,176.182,0.174,-6.192,0.799,154667,1959,spotify:track:4l52Uoxxt4mnscMjnWNMZk,Billboard Hot 100 1959,G084F7RDHEXWE7KHE80LOVUT1,0.476,0.119,1,0.357,0.000353,major,0.0337
I Need Your Love Tonight - Live,G,180.595,0.509,-8.695,0.863,124627,1959,spotify:track:1SoFz4D2PWB98avdJnt0XD,Billboard Hot 100 1959,6E76OQBIRYKNI0NPIPKSY2Z12,0.8,0.475,4,0.966,0.000166,major,0.0462
What A Diff'rence A Day Makes,C,95.167,0.405,-14.661,0.935,147853,1959,spotify:track:55tcV3M1p1MdCZo3pvp903,Billboard Hot 100 1959,KXI9SOXGAZHCKNDN0ZDNT2N9C,0.164,0.128,3,0.169,6.00E-05,major,0.0307
The All American Boy,E,149.963,0.488,-8.331,0.721,182267,1959,spotify:track:2JXQ9QIe9TaaHpCt0mORyO,Billboard Hot 100 1959,QHT64QDBVQC1F8LM3YOM9CKLR,0.778,0.338,4,0.938,0,major,0.0733
Primrose Lane,G#,120.202,0.607,-15.976,0.78,147440,1959,spotify:track:2bvKFIpuoWJprEiMdu0TU8,Billboard Hot 100 1959,1L2XSQ0DKMN5I4M1YVOWOOFGY,0.358,0.082,4,0.486,0.00153,minor,0.0318
Alvin's Harmonica,G#,117.878,0.532,-7.395,0.506,162973,1959,spotify:track:4aqEPeDRi8EXbOxFwIoaJ8,Billboard Hot 100 1959,YC71OZ6Y1Q51TQS1AD1QRL3MF,0.522,0.215,4,0.764,0.167,major,0.0479
Lonely Street,A,66.429,0.325,-12.78,0.915,165507,1959,spotify:track:0QRkeNrevENw06VoDLmolg,Billboard Hot 100 1959,29LJ8K3RUJS2GLHBYMMRQVLWJ,0.181,0.179,4,0.405,5.96E-05,major,0.0296
"What'd I Say, Pt. 1 & 2",E,88.385,0.54,-5.44,0.808,307053,1959,spotify:track:5yQ9iMZXGcr5rlO4hoLsP4,Billboard Hot 100 1959,87F51W06SXI4D5GLE2N8DENZ3,0.681,0.162,4,0.794,0,major,0.0508
Broken Hearted Melody,G,132.542,0.45,-10.011,0.796,143360,1959,spotify:track:5X4lsUAYrT5m0IyL6Xm8T5,Billboard Hot 100 1959,0ASEHUOGX40TUO7D4SXFM87D9,0.544,0.194,4,0.75,0,major,0.0378
Only You,E flat,78.462,0.239,-8.083,0.588,152933,1959,spotify:track:3y35c71yb6I1OtwmhwT1Cq,Billboard Hot 100 1959,44EYAX4Y8UX18SHJ1D3L6L52W,0.559,0.274,4,0.28,0.795,major,0.0313
Gotta Travel On,E flat,177.144,0.568,-12.223,0.822,150493,1959,spotify:track:3HynxUWKnm7rtzjVkyXoHu,Billboard Hot 100 1959,WBM4R0PS3QVFEK5QNU9KQEXMU,0.512,0.0941,4,0.892,1.14E-05,major,0.0764
Poison Ivy - 2007 Remaster; Remastered,C#,137.286,0.749,-5.413,0.402,164253,1959,spotify:track:5sbN2KexToBTtNiuhwysxo,Billboard Hot 100 1959,1YRCW4V1K4ZL2LPN7HX5ME3M7,0.708,0.0904,4,0.97,0,major,0.0902
Turn Me Loose,G,127.065,0.453,-12.835,0.813,141185,1959,spotify:track:69giDdJ1HI4Tty5C8Y2Jwt,Billboard Hot 100 1959,K5RE5GAA1X93SS7KBS7QRRGTC,0.571,0.731,3,0.792,8.40E-05,major,0.0312
Lonely Teardrops,G,137.133,0.524,-8.894,0.406,166213,1959,spotify:track:6TYR3IVgIwDK6ydc2EPEQq,Billboard Hot 100 1959,J25BI4JUWAEC0JEUJ4YK9J3Y6,0.478,0.74,4,0.843,0,major,0.118
Hawaiian Wedding Song,B flat,101.747,0.278,-13.719,0.861,150200,1959,spotify:track:0gPX8VCqSEnYhIMHvqGUr7,Billboard Hot 100 1959,QM9F819LUFLWL2LQU5P14PXDC,0.141,0.382,3,0.176,0.002,major,0.031
Forty Miles Of Bad Road,D,126.327,0.719,-11.918,0.0434,130600,1959,spotify:track:7vvIRamaiahhhXnFzA6wbB,Billboard Hot 100 1959,HCRI86DMIDPBQLIXVUYAOP7TI,0.685,0.102,4,0.96,0.884,major,0.0874
Just Ask Your Heart,C,176.586,0.45,-16.008,0.663,150909,1959,spotify:track:2kvGBpbSelWMg69ZUNkQ7i,Billboard Hot 100 1959,7IN7Q8CY8TNSQOBNDEG96ML05,0.369,0.0711,4,0.96,1.32E-06,major,0.0302
Tell Him No,A,184.594,0.314,-11.737,0.625,131120,1959,spotify:track:1Fjn0esWJFneKL73wJqgj8,Billboard Hot 100 1959,AAF2RGZJSQC02CCKXKYLSLR06,0.631,0.252,4,0.912,0,major,0.0734
Frankie,E flat,99.605,0.572,-8.123,0.796,151200,1959,spotify:track:3cmGF5NDmyRcc8XM3xbFWb,Billboard Hot 100 1959,LNQYVUZW9TUEEKVI9ZH5JD0YC,0.483,0.175,3,0.609,5.97E-06,major,0.0253
I've Had It,E,147.183,0.542,-12.592,0.816,162560,1959,spotify:track:4kj6CdWwrpReAYZjX9Srxq,Billboard Hot 100 1959,3XFZXMV09G3Y3Z2WE2X1V0PHA,0.781,0.263,4,0.935,0.0283,major,0.109
I Cried a Tear,A,169.232,0.348,-13.394,0.93,155853,1959,spotify:track:28dTB69zJBpBIiDH32Jp1M,Billboard Hot 100 1959,NLBPGEUREOXH3EKJ9JF0A7HU7,0.179,0.0992,3,0.547,0.0016,major,0.0315
Enchanted,E flat,78.541,0.348,-13.889,0.903,172293,1959,spotify:track:3uCXarDsIYEJ6noaI64jhW,Billboard Hot 100 1959,FJ7M06J3W59CVD0BQY9WB8F27,0.225,0.209,4,0.286,1.67E-06,major,0.0349
Since I Don't Have You,F#,142.538,0.286,-5.329,0.237,159663,1959,spotify:track:7lsnsM39mjdDKEbge48Ezx,Billboard Hot 100 1959,DXRCNTEQ5ETJD2LUJID7P0MKI,0.522,0.32,4,0.564,0,major,0.0312
Peter Gunn Theme,G,118.84,0.616,-8.567,0.662,111267,1959,spotify:track:1wrd5zpLwDElC8I5ReuCmP,Billboard Hot 100 1959,LI0NQ2VNDN8ERNIHNZKUANR4O,0.683,0.309,4,0.906,0.98,minor,0.0311
The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,E flat,152.548,0.612,-11.548,0.707,141467,1959,spotify:track:02NKMA9cIkq6VuBNu9q9Wf,Billboard Hot 100 1959,ZLLQ7ZTAD5WOO3Y5HIUZPAL5Q,0.37,0.23,3,0.777,2.98E-06,major,0.0344
I Want To Walk You Home,C#,89.077,0.631,-5.983,0.0455,141210,1959,spotify:track:1XOqI1ZpiG3hMb1JfqrGbv,Billboard Hot 100 1959,G7QJMUCRLIYHPUSYTAQ64W9F2,0.663,0.088,4,0.494,0,major,0.0328
So Fine,E flat,142.327,0.437,-11.689,0.182,143000,1959,spotify:track:5dTK0Jl2P6MSeVzeCGQBIy,Billboard Hot 100 1959,1HLZ8NN7G4HBMRXTH165TY59I,0.413,0.279,4,0.621,0,major,0.0314
Bobby Sox to Stockings,G,117.758,0.608,-12.973,0.781,159949,1959,spotify:track:3QslWf6jjw6f0by37Zrupd,Billboard Hot 100 1959,XLZ7VD4XI5O1OGOIP6ZNJ9AX0,0.405,0.263,4,0.617,0,minor,0.031
Deck Of Cards,B flat,108.545,0.364,-15.004,0.653,247787,1959,spotify:track:0xdi024arsntdQ8p8ZKRRn,Billboard Hot 100 1959,1LKN67OQ299352UGLMSNZ22KM,0.485,0.108,4,0.512,0.00514,major,0.0475
A Lover's Question,C,83.023,0.67,-11.698,0.887,150267,1959,spotify:track:6HBgCYResmsdmOufyHVoNB,Billboard Hot 100 1959,STWTAAU1XUBT8B8D5MVKAOU24,0.436,0.0609,4,0.951,1.71E-05,major,0.0554
I Only Have Eyes for You,F,88.554,0.552,-12.41,0.916,202773,1959,spotify:track:3YdKJzcoMZMacISlpY4QoP,Billboard Hot 100 1959,0AVENMH2BW58RI4C7KCKNS0HI,0.313,0.12,3,0.303,0.0017,major,0.0296
It's Late,G#,82.868,0.6,-8.077,0.79,119667,1959,spotify:track:5fWoxLPLPaJUy3Iostzl1C,Billboard Hot 100 1959,G048C72RRZ7T5PUDHG9NLCJO6,0.795,0.0949,4,0.898,0,major,0.0629
Petite Fleur,G#,112.342,0.712,-12.996,0.946,163077,1959,spotify:track:5IOrscHhyyr2LqbKu8wEXb,Billboard Hot 100 1959,I9NI4P6Q2432AUQIX3FVX83T2,0.165,0.115,4,0.47,0.753,minor,0.036
Tall Paul,E flat,202.42,0.382,-9.582,0.676,97080,1959,spotify:track:7oJujJSTfOKP1Gw95dK3Sy,Billboard Hot 100 1959,OP7E4CQAEEF15MIKSR2UDQ9CG,0.543,0.31,4,0.961,4.94E-05,major,0.0442
The Tijuana Jail - 1990 Digital Remaster,G,155.891,0.451,-13.567,0.795,170907,1959,spotify:track:4adwiDSem8c2jgiy66Bcsv,Billboard Hot 100 1959,RHXORFS9IICM38FP8WZX2ERHM,0.263,0.108,4,0.62,0,major,0.0313
Just A Little Too Much,G#,91.601,0.577,-6.84,0.336,132840,1959,spotify:track:5CQVeqQVhPmVwLgBANbcxF,Billboard Hot 100 1959,J82VHSETG9OD8S9BTZDSZ0VU8,0.847,0.208,4,0.976,0.000144,major,0.0318
Goodbye Baby,A,130.222,0.694,-12.623,0.91,129333,1959,spotify:track:16HL6HBaqUhWBaxcHMrZEF,Billboard Hot 100 1959,V31D8YV7ZE015MDAKGFGJKOAT,0.547,0.0996,4,0.764,0.0555,major,0.0291
Along Came Jones - 2007 Remaster; Remastered,A,104.824,0.778,-5.182,0.67,179293,1959,spotify:track:7oxjjKuDTPRYpPvYveG6sV,Billboard Hot 100 1959,48N648HYUEKE5GOQEX72IKYMH,0.821,0.161,4,0.789,0,major,0.296
3 Stars,C,134.987,0.644,-7.654,0.0032,158222,1959,spotify:track:2D5GqdCuEmG8FRdpXPP0m1,Billboard Hot 100 1959,OCUDPGJ62PVD7G4GLG3W49RCD,0.579,0.0953,4,0.303,0.677,major,0.0263
Sweeter Than You,B flat,74.308,0.403,-12.067,0.845,140760,1959,spotify:track:4si2ZU8jVZWTuoUvkujcmw,Billboard Hot 100 1959,392DSKT2NQWWR5BOZO27RSE3P,0.125,0.126,4,0.274,1.37E-06,major,0.0306
It Was I,F#,112.919,0.684,-9.546,0.757,142420,1959,spotify:track:1QJR1uYpBNVlCDS7NjpgUR,Billboard Hot 100 1959,LGY6KMOFI52Z8YS4ND6G9J9VJ,0.939,0.107,4,0.956,0,major,0.0439
"Goodbye Jimmy, Goodbye",B flat,74.864,0.386,-11.723,0.969,153347,1959,spotify:track:4xDT5KaC3c1yU5px1h2OVn,Billboard Hot 100 1959,EKIU0H9PNRDYLQL4ATWMU1562,0.231,0.0999,4,0.334,0.000244,major,0.0315
Manhattan Spiritual,E,99.081,0.679,-3.532,0.719,153995,1959,spotify:track:4czc4aXc73sl57rHja2F7z,Billboard Hot 100 1959,BD2P9LMK33ISKFBFI7NXRUX1U,0.935,0.0678,4,0.73,0.916,major,0.15
Endlessly,F,133.181,0.524,-16.497,0.333,142333,1959,spotify:track:5QiWvZvXVb9aF7XdtZxI1b,Billboard Hot 100 1959,NWEY9SOIVJMUMP1NZLHIT9RMY,0.33,0.0706,4,0.813,0,major,0.0344
Heartaches By The Number,F,172.484,0.584,-11.203,0.463,154296,1959,spotify:track:0mmveflIg5uKskiCOdRV3e,Billboard Hot 100 1959,GUZ76BK7JSFDT8PB36BBQHJZC,0.589,0.069,4,0.842,1.53E-05,major,0.0718
Sea Cruise,C,75.317,0.49,-10.976,0.64,167093,1959,spotify:track:5rtYGnyKCHaD977h5vhC3L,Billboard Hot 100 1959,S8A2U3L8LQTM05UDG65RIR2QU,0.738,0.372,4,0.965,0,major,0.0465
That's Why (I Love You So),F,146.618,0.72,-8.443,0.673,126227,1959,spotify:track:3f2dCpOap3vfqebOyVPHIs,Billboard Hot 100 1959,PKLZ9MUQCPHSPQIFKQLSG0WDG,0.803,0.362,4,0.961,0,major,0.0868
You're So Fine,C#,116.025,0.65,-9.751,0.853,149040,1959,spotify:track:3Wpm4PjUt4SMbc16oNuJdb,Billboard Hot 100 1959,C6ZPOFU2365KG3X4GVT9N3AIJ,0.385,0.0934,4,0.735,0,major,0.0361
Kissin' Time,C,94.971,0.64,-5.51,0.181,132373,1959,spotify:track:2tQTQIJkKEdLkh2Nx6TsG3,Billboard Hot 100 1959,YTY15E1N19XIA9G03ZGUBXN4Y,0.92,0.283,4,0.93,7.96E-06,minor,0.068
My Wish Came True,D,74.586,0.254,-11.765,0.958,154640,1959,spotify:track:543SzJd0OFYwTU6AucokHq,Billboard Hot 100 1959,SQ9OT1OIBL15ZS7Y8Z553VLIW,0.177,0.347,4,0.241,1.49E-05,major,0.0345
Morgen,B flat,99.786,0.589,-7.605,0.899,155800,1959,spotify:track:4Gy2ccb1lUzc5sNmwKtTFt,Billboard Hot 100 1959,EWTSD1LUAZYIK4OLUDQVZ2DZX,0.433,0.0949,4,0.647,1.24E-05,major,0.0268
Baby Talk,B,104.863,0.496,-14.526,0.786,145800,1959,spotify:track:2aBNUHJEIZhNePKpCEBAW0,Billboard Hot 100 1959,O7LELEBNYWHZPHO1CD8YVM107,0.463,0.306,4,0.566,0,minor,0.0283
Take A Message To Mary,E,117.763,0.748,-14.77,0.302,148307,1959,spotify:track:2Nrd5jRq7KVrHOWOVUKi5S,Billboard Hot 100 1959,XVUHE7WFA6KCQWJMO3ANAST2R,0.254,0.107,4,0.347,0,major,0.0444
The Battle Hymn of the Republic,G,101.104,0.195,-19.822,0.955,311267,1959,spotify:track:7cxcgUylPkpzOfMUGMMy8Q,Billboard Hot 100 1959,WEFG2Z70PCIHR7DCZ395OD7O8,0.135,0.187,4,0.0561,0.068,major,0.036
Bongo Rock,F,165.598,0.376,-8.505,0.807,126613,1959,spotify:track:7ashP0HnlAkHKWEK91xx1v,Billboard Hot 100 1959,HBBQC7LOTGO6NOTWKFT3NETJY,0.996,0.512,4,0.406,0.907,major,0.0666
In The Mood,C#,162.462,0.431,-7.119,0.607,158880,1959,spotify:track:6nCRUa8xPE59AyOfZBr3Qt,Billboard Hot 100 1959,7IIFSMJ25ZVBVKLAUBPU0S3U4,0.938,0.283,4,0.972,0.957,major,0.0375
Seven Little Girls Sitting in the Back Seat,A,61.759,0.738,-6.662,0.851,138027,1959,spotify:track:528h8uGmZPQT867LM4wEcz,Billboard Hot 100 1959,EL0STHS9PMW040BMOVFL3374N,0.449,0.161,4,0.719,0,major,0.0583
Love Yourself,E,100.418,0.609,-9.828,0.835,233720,2016,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Billboard Hot 100 2016,FHQY21OCS8N9QMIQ1MNI8JJQ6,0.378,0.28,4,0.515,0,major,0.438
Sorry,C,99.945,0.654,-3.669,0.0797,200787,2016,spotify:track:09CtPGIpYB4BrO8qb1RGsF,Billboard Hot 100 2016,PR1XCDUJFPIJ8MMHB4K7MZ25W,0.76,0.299,4,0.41,0,minor,0.045
One Dance,C#,103.967,0.792,-5.609,0.00776,173987,2016,spotify:track:1zi7xx7UVEFkmKfv06H8x0,Billboard Hot 100 2016,S4A03B4NWTAAENOJWYQVQR60N,0.625,0.329,4,0.37,0.0018,major,0.0536
Work,B,91.974,0.725,-6.238,0.0752,219320,2016,spotify:track:72TFWvU3wUYdUuxejTTIzt,Billboard Hot 100 2016,WAUMVPABT47R2Z62TGGBD6NOU,0.534,0.0919,4,0.558,0,major,0.0946
Stressed Out,E,169.977,0.734,-5.677,0.0462,202333,2016,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,Billboard Hot 100 2016,9Y0YN1UF26ZDZ7S3XCXSPXOBH,0.637,0.0602,4,0.648,2.29E-05,minor,0.141
Panda,B flat,145.245,0.685,-5.503,0.0292,247867,2016,spotify:track:275a9yzwGB6ncAW4SxY7q3,Billboard Hot 100 2016,D5DNQ9EE2W7DRT4ZG7TSVBUHA,0.731,0.369,4,0.266,0,minor,0.414
Hello,F,78.991,0.578,-6.134,0.33,295502,2016,spotify:track:62PaSfnXSMyLshYJrlTuL3,Billboard Hot 100 2016,2DGHME186LLN6A3VAOBKD8XX0,0.43,0.0854,4,0.288,0,minor,0.0305
Don't Let Me Down,B,159.803,0.532,-5.094,0.157,208373,2016,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,Billboard Hot 100 2016,59HHRRXLHSSJDDIK890V9TM02,0.869,0.136,4,0.422,0.00508,major,0.172
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",C,113.035,0.669,-5.721,0.0106,237547,2016,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,Billboard Hot 100 2016,GN1KDQSF6EZLL3SASGQIPZZY6,0.832,0.0968,4,0.7,0,major,0.0682
Closer,G#,95.01,0.748,-5.599,0.414,244960,2016,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Billboard Hot 100 2016,Y1SS5TZ1CN3YAHTYFGXKC4FQG,0.524,0.111,4,0.661,0,major,0.0338
